formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id),-131.128600,-107.680102
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type),80.771040,104.219537
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|problem_id) + (1|problem_id:TMS_Type),101.404581,124.853078
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-132.593988,-105.237407
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-129.128600,-101.772020
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-130.593988,-99.329324
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id),78.823691,98.364105
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|problem_id),87.657579,107.197994
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id),-124.816978,-101.368480
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id) + (1|participant_id:TMS_Type),80.823691,104.272188
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|problem_id) + (1|problem_id:TMS_Type),89.657579,113.106077
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-127.298871,-99.942291
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-122.816978,-95.460397
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-125.298871,-94.034208
sqrt(keypress_rate..keypresses.per.second.) ~ session + coding_section_no + (1|participant_id),77.184381,96.724796
sqrt(keypress_rate..keypresses.per.second.) ~ session + coding_section_no + (1|problem_id),97.860408,117.400823
sqrt(keypress_rate..keypresses.per.second.) ~ session + coding_section_no + (1|participant_id) + (1|problem_id),-137.999710,-114.551213
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_order + (1|participant_id),77.449057,96.989472
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_order + (1|problem_id),95.998585,115.538999
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_order + (1|participant_id) + (1|problem_id),-139.765956,-116.317459
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_set + (1|participant_id),77.624237,97.164652
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_set + (1|problem_id),82.996969,102.537384
sqrt(keypress_rate..keypresses.per.second.) ~ session + problem_set + (1|participant_id) + (1|problem_id),-133.031298,-109.582801
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + coding_section_no + (1|participant_id),76.713486,96.253901
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + coding_section_no + (1|problem_id),85.975863,105.516277
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + coding_section_no + (1|participant_id) + (1|problem_id),-129.562754,-106.114257
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + problem_order + (1|participant_id),76.977549,96.517964
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + problem_order + (1|problem_id),84.792869,104.333284
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + problem_order + (1|participant_id) + (1|problem_id),-130.902519,-107.454021
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + problem_order + (1|participant_id),75.416300,94.956714
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + problem_order + (1|problem_id),97.012553,116.552967
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + problem_order + (1|participant_id) + (1|problem_id),-137.733484,-114.284986
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id),80.887386,100.427801
