formula,AIC,BIC
log(response.time) ~ discomfort + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.391135,-980.816169
log(response.time) ~ discomfort + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-790.671465,-738.096499
log(response.time) ~ discomfort + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.391137,-980.816171
log(response.time) ~ discomfort + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1032.924130,-980.349164
log(response.time) ~ discomfort + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1023.589711,-971.014745
log(response.time) ~ discomfort + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1031.321306,-972.174469
log(response.time) ~ sensations + (1|participant_id),-532.818394,-506.530911
log(response.time) ~ sensations + (1|shown_letter),1061.665746,1087.953229
log(response.time) ~ sensations + (1|participant_id:shown_letter),-229.297962,-203.010479
log(response.time) ~ sensations + (1|participant_id:TMS_Type),-1030.978375,-1004.690892
log(response.time) ~ sensations + (1|shown_letter:TMS_Type),1061.586891,1087.874374
log(response.time) ~ sensations + (1|participant_id:shown_letter:TMS_Type),-519.078034,-492.790551
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter),-531.245419,-498.386065
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter),-530.818394,-497.959040
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:TMS_Type),-1038.976174,-1006.116820
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter:TMS_Type),-532.222948,-499.363594
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-798.304539,-765.445185
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter),-227.297962,-194.438608
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:TMS_Type),-1029.629527,-996.770173
log(response.time) ~ sensations + (1|shown_letter) + (1|shown_letter:TMS_Type),1063.545159,1096.404513
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-517.078034,-484.218680
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1028.978375,-996.119021
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-227.653024,-194.793671
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-564.262753,-531.403399
log(response.time) ~ sensations + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.140938,-996.281584
log(response.time) ~ sensations + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.119084,-996.259730
log(response.time) ~ sensations + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-517.078034,-484.218680
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-529.245419,-489.814194
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1037.623239,-998.192015
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-530.222948,-490.791723
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-796.304539,-756.873314
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1036.976174,-997.544950
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-530.222948,-490.791723
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-796.304539,-756.873314
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1037.132599,-997.701374
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.117229,-997.686004
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-796.304539,-756.873314
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1027.629527,-988.198302
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-225.653024,-186.221800
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-562.262753,-522.831528
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.629527,-988.198302
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.698705,-988.267480
log(response.time) ~ sensations + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-515.078034,-475.646809
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.140938,-987.709713
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.119083,-987.687859
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-562.262753,-522.831528
log(response.time) ~ sensations + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.233343,-987.802118
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1035.623239,-989.620144
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-528.222947,-482.219852
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-794.304539,-748.301443
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1035.623239,-989.620144
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.692959,-989.689864
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-794.304538,-748.301443
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1035.132599,-989.129504
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.117230,-989.114134
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-794.304538,-748.301443
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.226195,-989.223100
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1025.629527,-979.626432
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.698704,-979.695609
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-560.262753,-514.259657
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.698705,-979.695610
log(response.time) ~ sensations + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.233343,-979.230248
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1033.623235,-981.048269
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.692959,-981.117993
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-792.304536,-739.729570
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.692959,-981.117993
log(response.time) ~ sensations + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.226195,-980.651229
log(response.time) ~ sensations + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1023.698704,-971.123738
log(response.time) ~ sensations + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1031.692959,-972.546122
log(response.time) ~ TMS_Type + session + (1|participant_id),-648.628896,-615.769543
log(response.time) ~ TMS_Type + session + (1|shown_letter),982.468411,1015.327765
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter),-335.874519,-303.015165
log(response.time) ~ TMS_Type + session + (1|participant_id:TMS_Type),-1031.431895,-998.572541
log(response.time) ~ TMS_Type + session + (1|shown_letter:TMS_Type),982.847481,1015.706835
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter:TMS_Type),-529.969635,-497.110281
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter),-646.895972,-607.464747
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter),-646.628896,-607.197672
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),-1043.071107,-1003.639883
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter:TMS_Type),-646.628896,-607.197672
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-840.009639,-800.578414
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter),-333.874519,-294.443294
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:TMS_Type),-1030.079826,-990.648601
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|shown_letter:TMS_Type),984.468411,1023.899636
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-527.969635,-488.538410
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1029.431895,-990.000670
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-333.874519,-294.443294
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-590.059040,-550.627815
log(response.time) ~ TMS_Type + session + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.594827,-990.163602
log(response.time) ~ TMS_Type + session + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.570615,-990.139391
log(response.time) ~ TMS_Type + session + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-527.969635,-488.538410
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-644.895972,-598.892876
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1041.704818,-995.701723
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-644.895972,-598.892876
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-838.009639,-792.006543
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1041.071107,-995.068011
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-644.628896,-598.625801
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-838.009639,-792.006543
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1041.222115,-995.219019
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1041.207257,-995.204162
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-838.009639,-792.006543
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1028.079826,-982.076731
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-331.874519,-285.871424
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-588.059040,-542.055945
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1028.079826,-982.076731
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1028.147769,-982.144674
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-525.969635,-479.966540
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.594827,-981.591731
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.570615,-981.567520
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-588.059040,-542.055945
log(response.time) ~ TMS_Type + session + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.685533,-981.682437
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1039.704817,-987.129851
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-642.895971,-590.321005
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-836.009639,-783.434673
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1039.704818,-987.129852
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.771822,-987.196856
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-836.009639,-783.434673
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1039.222115,-986.647148
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.207257,-986.632291
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-836.009630,-783.434664
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.312469,-986.737503
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1026.079825,-973.504859
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1026.147769,-973.572803
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-586.059001,-533.484035
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1026.147767,-973.572801
log(response.time) ~ TMS_Type + session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.685549,-973.110583
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1037.704798,-978.557962
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.771819,-978.624982
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-834.009636,-774.862799
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.771823,-978.624986
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.312472,-978.165635
log(response.time) ~ TMS_Type + session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1024.147769,-965.000933
log(response.time) ~ TMS_Type + session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.771818,-970.053110
log(response.time) ~ TMS_Type + problem_order + (1|participant_id),-578.713441,-545.854088
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter),1029.907096,1062.766450
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter),-275.535376,-242.676023
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:TMS_Type),-1082.312809,-1049.453456
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter:TMS_Type),1030.314060,1063.173414
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter:TMS_Type),-569.214451,-536.355098
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter),-576.968785,-537.537561
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter),-576.713441,-537.282217
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type),-1090.333043,-1050.901818
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter:TMS_Type),-576.713441,-537.282217
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-848.841873,-809.410648
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter),-273.535376,-234.104152
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:TMS_Type),-1080.938137,-1041.506912
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|shown_letter:TMS_Type),1031.907096,1071.338321
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-567.214448,-527.783224
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1080.320239,-1040.889014
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-273.535376,-234.104152
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-614.617498,-575.186273
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1080.445825,-1041.014600
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1080.526799,-1041.095574
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-567.214451,-527.783227
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-574.968785,-528.965690
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1088.948904,-1042.945809
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-574.968785,-528.965690
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-846.841873,-800.838778
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1088.337363,-1042.334268
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-574.713441,-528.710346
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-846.841873,-800.838778
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1088.456150,-1042.453054
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1088.546292,-1042.543197
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-846.841873,-800.838778
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1078.938137,-1032.935041
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-271.535376,-225.532281
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-612.617498,-566.614403
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1078.938118,-1032.935022
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1079.063506,-1033.060411
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-565.214451,-519.211356
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1078.445825,-1032.442730
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1078.526799,-1032.523703
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-612.617498,-566.614403
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1078.606601,-1032.603505
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1086.948796,-1034.373830
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-572.968785,-520.393819
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-844.841869,-792.266903
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1086.948904,-1034.373938
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1087.074482,-1034.499516
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-844.841873,-792.266907
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1086.456149,-1033.881183
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1086.546293,-1033.971327
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-844.841868,-792.266902
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1086.618393,-1034.043427
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1076.938136,-1024.363170
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1077.063506,-1024.488540
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-610.617498,-558.042532
log(response.time) ~ TMS_Type + problem_order + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1077.063505,-1024.488539
log(response.time) ~ TMS_Type + problem_order + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1076.606601,-1024.031635
log(response.time) ~ TMS_Type + problem_order + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1084.948904,-1025.802067
