formula,AIC,BIC
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.539627,-988.108402
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-560.706477,-521.275253
log(response.time) ~ (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.539627,-988.108402
log(response.time) ~ (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.073879,-987.642655
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1035.311242,-989.308147
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.380973,-989.377878
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-791.926026,-745.922931
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.380973,-989.377878
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1034.914023,-988.910928
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.539627,-979.536531
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.380973,-980.806007
log(response.time) ~ TMS_Type + (1|participant_id),-532.916909,-506.629426
log(response.time) ~ TMS_Type + (1|shown_letter),1062.319967,1088.607450
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter),-228.635845,-202.348362
log(response.time) ~ TMS_Type + (1|participant_id:TMS_Type),-1030.953387,-1004.665904
log(response.time) ~ TMS_Type + (1|shown_letter:TMS_Type),1062.714258,1089.001741
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter:TMS_Type),-518.901389,-492.613906
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter),-531.186848,-498.327494
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter),-530.916909,-498.057555
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),-1038.968082,-1006.108728
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter:TMS_Type),-530.916909,-498.057555
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-798.325260,-765.465906
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter),-226.635845,-193.776492
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:TMS_Type),-1029.602272,-996.742918
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|shown_letter:TMS_Type),1064.319967,1097.179320
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-516.901389,-484.042035
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1028.953387,-996.094033
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-226.635845,-193.776492
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-564.192072,-531.332718
log(response.time) ~ TMS_Type + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.114943,-996.255589
log(response.time) ~ TMS_Type + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.093806,-996.234452
